ninds_aff_name,fiscal_year_total_cost
new york state psychiatric institute,993767.0
saint louis university,917783.0
children's hospital los angeles,916954.0
university of illinois at chicago,908486.0
university of connecticut sch of med/dnt,900409.0
"mc lean hospital (belmont, ma)",870947.0
huntington medical research institutes,861189.0
st. luke's-roosevelt inst for hlth scis,851178.0
rush university medical center,822601.0
george washington university,815138.0
iowa state university,814707.0
u.s. phs public advisory groups,798865.0
harvard university,797159.0
henry m. jackson fdn for the adv mil/med,792073.0
university of texas austin,769586.0
university of massachusetts amherst,768417.0
altarum institute,753424.0
university of south alabama,725158.0
upstate medical university,677995.0
new york medical college,675863.0
university of hawaii at manoa,673780.0
university of puerto rico med sciences,662731.0
brown university,662423.0
university of connecticut storrs,641256.0
university of louisiana at lafayette,637796.0
hugo w. moser res inst kennedy krieger,627394.0
florida state university,620514.0
tulane university of louisiana,619963.0
university of california riverside,599080.0
albany medical college,592914.0
wadsworth center,573274.0
university of toledo health sci campus,564429.0
university of missouri-columbia,560734.0
mcgill university,544561.0
cleveland clinic foundation,542952.0
sloan-kettering institute for cancer res,504925.0
"alacron, inc.",503103.0
louisiana state univ hsc new orleans,491801.0
university of nebraska medical center,490887.0
carnegie-mellon university,486410.0
wright state university,475342.0
loyola university chicago,468928.0
university of arkansas med scis ltl rock,466884.0
temple university,458026.0
university of california santa barbara,438502.0
university of maryland college pk campus,428884.0
oregon regional primate research center,415707.0
texas a&m university health science ctr,402843.0
medical university of south carolina,398794.0
university of calif-los alamos nat lab,393742.0
wistar institute,393002.0
jackson laboratory,386918.0
indiana university bloomington,384548.0
princeton university,380608.0
university of colorado at boulder,375334.0
hereditary disease foundation,374234.0
"rhode island hospital (providence, ri)",370464.0
seattle children's hospital,369162.0
burnham institute for medical research,360196.0
texas tech university health scis center,357451.0
university of missouri kansas city,346867.0
children's hospital and health center,345526.0
meharry medical college,344380.0
rutgers the state univ of nj newark,340060.0
moss rehabilitation hospital,334614.0
southern illinois university sch of med,328852.0
columbia university health sciences,327923.0
helen hayes hospital,321838.0
san diego state university,316043.0
colorado neurological institute,310092.0
institute for basic res in dev disabil,297796.0
medical college of georgia (mcg),295821.0
university of calif-lawrenc berkeley lab,287961.0
"minneapolis medical research fdn, inc.",287793.0
"cleveland medical devices, inc.",283729.0
boston university medical center hosp,282574.0
university of oklahoma hlth sciences ctr,279949.0
university of wyoming,279834.0
"empi, inc.",272730.0
"sam technology, inc.",272349.0
evanston hospital,271280.0
state university of new york at albany,269723.0
"institute for cognitive prosthetics, inc",266846.0
"panorama research, inc.",263701.0
virginia polytechnic inst and st univ,258006.0
medical systems corporation,255255.0
"abiomed, inc.",254808.0
university city science center,250980.0
"biotek, inc.",250805.0
oregon state university,250120.0
pharmos corporation,250002.0
cambridge neuroscience,250000.0
"colla-tec, inc.",250000.0
"axon medical, inc.",249377.0
quinnipiac university,249109.0
intelligent hearing systems,248802.0
georgia state university,248599.0
boston college,248346.0
alfred e. mann foundation/scientific res,246538.0
"lifesensors, inc.",244312.0
university of west florida,242381.0
"radiation monitoring devices, inc.",239191.0
long island jewish medical center,239057.0
"alkermes, inc.",234604.0
oregon graduate institute science & tech,231661.0
neutron technology,231449.0
magee-women's hospital of upmc,230465.0
"nichols technologies, inc.",224045.0
"pointer systems, inc.",223716.0
"john b. pierce laboratory, inc.",221827.0
graduate hospital (philadelphia),220815.0
st. jude children's research hospital,218964.0
children's national medical center,215551.0
"information management services, inc.",211490.0
purdue university west lafayette,210935.0
oklahoma medical research foundation,209969.0
marshall university,207893.0
la biomed res inst/ harbor ucla med ctr,205403.0
washington state university,203361.0
university of south carolina at columbia,202938.0
salus university,202346.0
"collaborative research, inc.",198330.0
arizona state university-tempe campus,194771.0
university of toronto,192565.0
mcmaster university,191108.0
university of toledo,190458.0
university of texas md anderson can ctr,190193.0
lund university,188381.0
west virginia university,187602.0
university of miami coral gables,187279.0
university of mississippi medical center,186924.0
totts gap medical research laboratories,183551.0
barnard college,180528.0
weis center for research-geisinger clinc,177676.0
invivo corporation,177411.0
northeastern university,175538.0
rutgers the st univ of nj new brunswick,170869.0
university of alaska anchorage,169505.0
university of notre dame,169046.0
simon fraser university,166307.0
rehabilitation institute research corp,164288.0
tufts medical center,163080.0
university of bristol,161391.0
good samaritan hospital,161324.0
philadelphia biomedical research inst,160650.0
emerson college,160385.0
"montefiore medical center (bronx, ny)",158520.0
university of south florida,155610.0
college of william and mary,154734.0
eye and ear institute of pittsburgh,144485.0
university of houston,144168.0
university of louisville,141090.0
ohio university athens,139199.0
"kai research, inc",138517.0
massey university,136108.0
utah state university,130603.0
university of helsinki,129352.0
university of nevada reno,128505.0
university of north texas hlth sci ctr,127904.0
"specialty laboratories, inc.",123579.0
university of oklahoma norman,123347.0
new mexico state university las cruces,118750.0
university college london,116914.0
marquette university,113921.0
college of the holy cross,111254.0
hebrew university of jerusalem,110728.0
cold spring harbor laboratory,109939.0
queen's university at kingston,109021.0
"lipitek international, inc.",108586.0
kansas state university,106431.0
"covalent associates, inc.",102598.0
davidson college,102426.0
north carolina state university raleigh,102415.0
colby-sawyer college,101185.0
synaptic pharmaceutical corporation,100000.0
university of cambridge,100000.0
northrup grumman inform tech corp,100000.0
"gliatech, inc.",99214.0
university of western ontario,99015.0
university of nebraska lincoln,98968.0
california state university long beach,98700.0
university of montana,96765.0
leiden university,95758.0
northeastern ohio universities coll med,94095.0
east tennessee state university,93063.0
st. john's university,92245.0
children's hospital (columbus),91260.0
oberlin college,90763.0
university of north dakota,90471.0
mercer university macon,89310.0
cedars-sinai medical center,86292.0
st. john's mercy medical center,83570.0
neurex corporation,82767.0
clarkson university,82717.0
caritas st. elizabeth's medical center,82620.0
universidad central del caribe,80626.0
university of tulsa,79741.0
institute for circadian physiology,79350.0
mount sinai medical center (miami beach),78930.0
loyola university of chicago,78590.0
arkansas children's hosp (little rock),78327.0
sir mortimer b. davis jewish gen hosp,78163.0
massachusetts eye and ear infirmary,74893.0
colgate university,74650.0
university of british columbia,69696.0
montreal general hospital,66000.0
university of melbourne,65771.0
marine biological laboratory,60000.0
university of new hampshire,59724.0
society for neuroscience,59036.0
gordon research conferences,58000.0
national polytechnic institute,57369.0
"neuroperfusion, inc.",57302.0
abratech corporation,50001.0
american research corp of virginia,50000.0
"source signal imaging, inc.",50000.0
"houston biotechnology, inc.",50000.0
"princeton scientific instruments, inc.",50000.0
questcor pharmaceuticals,50000.0
orthologic corporation,50000.0
"neurocommunication research labs, inc.",50000.0
"mvbs, inc.",50000.0
national multiple sclerosis society,50000.0
telefactor corporation,50000.0
"plexon, inc.",50000.0
environmental health research & testing,50000.0
croptech corporation,49998.0
candela corporation,49998.0
spire corporation,49974.0
"bio-tek instruments, inc.",49935.0
"mmtc, inc.",49899.0
"moco, inc.",49880.0
"sts biopolymers, inc.",49807.0
roche institute of molecular biology,48480.0
allegheny-singer research institute,42984.0
whittier institute for diabetes & endoc,38640.0
university of pisa,36000.0
dana-farber cancer institute,34938.0
university of north carolina greensboro,34459.0
institute of biology and exper medicine,32900.0
fred hutchinson cancer research center,31200.0
university of denver,28600.0
bell laboratories,28600.0
hunter college,28600.0
max planck institute for biophys chem,22700.0
u.s. nat'l inst/dental/craniofacial res,21700.0
european molecular biology laboratory,18600.0
baylor research institute,11728.0
bryn mawr college,8349.0
new york academy of sciences,8000.0
american physiological society,7000.0
federation of amer soc for exper biology,5000.0
"neuro scan, inc.",4511.0
"covance laboratories, inc.",0.0
national institute of neurological disorders and stroke,0.0
precision interconnect corporation,0.0
university of minnesota duluth,0.0
genzyme corporation,0.0
"21st century medicine, inc.",
"a and g pharmaceutical, inc.",
a.t. still university of health sciences,
aarhus university hospital,
"abgenix, inc.",
"abzyme therapeutics, llc",
"acadia pharmaceuticals, inc.",
"access pharmaceuticals, inc.",
"acorda therapeutics, inc.",
"acoustic medsystems, inc.",
"acrymed, inc.",
"active signal technologies, inc.",
"actuated medical, inc.",
"acurastem, inc.",
"adenosine therapeutics, llc",
adolor corporation,
advanced biomedical informatics group,
advanced bionics corporation,
"advanced brain monitoring, inc.",
advanced cell technology,
"advanced circulatory systems, inc.",
"advanced cochlear systems, inc.",
"advanced imaging research, inc.",
advanced medical electronics corporation,
"advanced mri technology, llc",
"advanced neural dynamics, inc.",
"advanced rna technologies, llc",
advanced science research center,
"advanced sensor technologies, inc.",
"advanced targeting systems, inc.",
advocacy for patients / chronic illness,
"aegiscn, llc",
"aeromics, llc",
"aestus therapeutics, inc.",
"afasci, inc.",
afferent corporation,
"affinergy ,inc",
"affymetrix, inc.",
"agenebio, inc.",
"agile sciences, inc.",
"agri-analysis, llc",
akron general medical center,
"ala scientific instruments, inc.",
alaska native tribal health consortium,
"albany molecular research, inc.",
"albany research institute, inc.",
albert einstein col of med yeshiva univ,
albert einstein coll of med,
albert einstein college of medicine,
"albert einstein college of medicine, inc",
albert einstein healthcare network,
albion college,
"alcamena stem cell therapeutics, llc",
alexza molecular delivery corporation,
alfred i. du pont hosp for children,
"algos therapeutics, inc.",
allen institute,
"allez physionix, ltd",
"allosteros therapeutics, inc.",
"alperin noninvasive diagnostics, inc.",
"als biopharma, llc",
"altec, inc.",
altor bioscience corporation,
"ambergen, inc",
"ambion, inc.",
american assn/chronic fatigue syndrome,
american biotechnology research corp,
american epilepsy society,
american life science pharmaceuticals,
american national red cross,
american pain society,
american society for nanomedicine i,
american society for neurochemistry,
american society of gene & cell therapy,
american speech-language-hearing assn,
american university,
"ames technology, inc.",
amherst college,
"amplyx pharmaceuticals, inc.",
"amprion, inc.",
"amur pharmaceuticals, inc.",
amyotropic lateral sclerosis association,
anagin,
"anaspec, inc.",
"anatomyworks, llc",
"ancure, llc",
andrew's buddies corporation,
androscience corporation,
"anergen, inc.",
"anergix, llc",
"aneuvas technologies, inc.",
angioma alliance,
angion biomedica corporation,
ann arbor district library,
"annovis, inc.",
"anteana therapeutics, inc.",
"anticancer, inc.",
"apdm, inc.",
"apeliotus technologies, inc.",
"aperys, llc",
"apex biomedical company, llc",
"apollo light systems, inc.",
"apologic, inc.",
"apt therapeutics, inc.",
"aptinyx, inc.",
"aquinnah pharmaceuticals, inc.",
"aratome, llc",
arbor vita corporation,
"arcos biosciences, inc.",
"aristein bioinformatics, llc",
arizona institute for bio-medical res,
"armagen technologies, inc.",
"aronora, inc.",
"artann laboratories, inc.",
"artsco, inc.",
"aruna biomedical, inc.",
"asi instruments, inc",
"asklepios biopharmaceutical, inc.",
aspirebio corporation,
association for frontotemporal dementias,
association for research/nerv & ment dis,
"astraea therapeutics, llc",
"astro-med, inc.",
"astroctye pharmaceuticals, inc.",
"asuragen, inc.",
"ateris technologies, llc",
"athersys, inc.",
"atlantic health system, inc.",
atto bioscience,
auburn university at auburn,
augusta university,
"auritec pharmaceuticals, inc.",
australian national university,
"avancen, llc",
"avantgen, inc.",
"avid radiopharmaceuticals, inc.",
"axion biosystems, llc",
"axon engineering, inc.",
"axonova medical, llc",
"azevan pharmaceuticals, inc.",
"backyard brains, inc.",
"balance therapeutics, inc.",
ball state university,
banner health,
banner sun health research institute,
"banyan biomarkers, inc.",
barnes-jewish hospital,
"barron associates, inc.",
bastyr university,
battelle pacific northwest laboratories,
baylor university,
"bcell solutions, inc.",
beckman research institute/city of hope,
"bedford va research corporation, inc.",
"bellbrook labs, llc",
benaroya research inst at virginia mason,
"betah associates, inc.",
beth israel medical ctr (new york),
"bio-brite, inc.",
"bio-imaging research, inc.",
bio-logic systems corporation,
bio-signal group corporation,
"bioadvances, llc",
"bioanalytical systems, inc. (basi)",
"bioaxone biosciences, inc.",
bioelectric corporation,
"biographics, inc.",
"biolok international, inc.-orthogen corp",
"bionic technologies, inc.",
"biophyzica, inc.",
"bioprobes, inc.",
"bioscience development, inc.",
"biosensics, llc",
"biostrategies, lc",
"biostream therapeutics, inc.",
biotechplex corporation,
"biotex, inc.",
"biotime, inc.",
"biotraces, inc.",
blackrock microsystems,
"blackthorn therapeutics, inc.",
"bloodcenter of wisconsin, inc.",
"bmseed, llc",
boise state university,
"bolder biotechnology, inc.",
boston biomedical research institute,
boston children's hospital,
boston medical center,
boston university,
boston university (charles river campus),
bowling green state univ bowling green,
"brain plasticity, inc.",
brain recovery project,
"brain research laboratories, inc. (brl)",
"brainxell, inc.",
brentwood biomedical research institute,
brigham young university,
bright cloud international corporation,
brightoutcome inc.,
"broad institute, inc.",
brookhaven science assoc-brookhaven lab,
brooklyn college,
buck institute for age research,
buck institute for research on aging,
"butler hospital (providence, ri)",
butler university,
"c-motion, inc.",
"c. light technologies, inc.",
"calibrant biosystems, inc.",
"califia bio, inc.",
california institute of biological res,
california institute/biomedical research,
california pacific med ctr res institute,
california state poly u pomona,
california state university chico,
california state university fullerton,
california state university los angeles,
california state university northridge,
california state university sacramento,
calvin college,
"cambrex bioscience walkersville, inc.",
"cambria biosciences, llc",
canisius college,
"cape cod research, inc.",
"caprion proteomics usa, llc",
cardiff university,
"carnegie institution of washington, d.c.",
carolinas medical center,
"cartesian research, inc.",
"cas medical systems, inc.",
case western reserve universit,
catawba college,
"ccel bio-therapies, inc.",
cd neural technologies,
"cell therapeutics, inc.",
"celldex therapeutics, inc.",
"centaur pharmaceuticals, inc.",
central institute for the deaf,
central michigan university,
central new york research corporation,
central washington university,
centre college,
centre for addiction and mental health,
"cerebral data systems, inc.",
"ceregene, inc.",
"cersci therapeutics, inc.",
cfd research corporation,
"chalklabs, llc",
chapman university,
charcot-marie-tooth association,
"charite, universitaetsmedizin berlin",
charles r. drew university of med & sci,
charles stark draper laboratory,
"chatten associates, inc.",
chiari and syringomyelia foundation,
chicago assn for research & educ in sci,
chicago institute for neuro surgery/res,
"children's healthcare of atlanta, inc.",
children's healthcare system of atlanta,
children's hosp of philadelphia,
children's hosp pittsburgh/upmc hlth sys,
children's hospital,
children's hospital & res ctr at oakland,
children's hospital corporation,
children's hospital med ctr (c,
children's hospital med ctr (cincinnati),
children's hospital medical center cinci,
children's hospital of los angeles,
children's hospital of orange county,
children's hospital of philade,
children's hospital research center,
children's memorial hospital (chicago),
children's research institute,
children's tumor foundation,
childrens hospital of philadelphia,
chinese university of hong kong,
cincinnati childrens hosp med ctr,
cinvestav-ipn,
"circadian technologies, inc.",
"circumvent pharmaceuticals, inc.",
city college of new york,
claremont mc kenna college,
"clarian health partners, inc.",
clark atlanta university,
clarus medical systems,
clemson university,
cleveland clinic lerner col/med-cwru,
cleveland clinic lerner com-cwru,
cleveland state university,
cleveland va medical research/ed/fdn,
"clever systems, inc.",
clinical research institute of montreal,
"cocensys, inc.",
"cognetix, inc.",
"cognition therapeutics, inc.",
"cognizance biomarkers, llc",
"cognosci, inc.",
"collaborations pharmaceuticals, inc.",
"collaborative drug discovery, inc.",
"collagen matrix, inc.",
college at geneseo,
college of charleston,
college of staten island,
colorado school of mines,
colorado state university,
colorado state university-pueblo,
"computational diagnostics, inc.",
"computer lifeguard, inc.",
"conservocare, llc",
consultants in behavioral research,
coriell institute for medical research,
cornell university,
cortechs,
"cortechs labs, inc.",
"cortex pharmaceuticals, inc.",
"corticometrics, llc",
countervail corporation,
"creare, inc.",
"creative biomolecules, inc.",
creighton university,
"crinetics pharmaceuticals, inc.",
"curepsp, inc.",
"customkynetics, inc.",
cyberkinetics neurotechnology systems,
cyclotec advanced medical technologies,
"cygnus, inc.",
"cyion technologies, llc",
"cytodel, llc",
"cytokinetics, inc.",
cytonics corporation,
"cytoprint, inc.",
"cytotherapeutics, inc.",
dana-farber cancer inst,
"darpharma, inc.",
dartmouth-hitchcock clinic,
"decode genetics, ehf",
delaware state university,
delaware water gap science institute,
"deltanu, llc",
denver health and hospital authority,
"dermaxon, llc",
"deschutes research, inc.",
"deseret laboratories, inc.",
"diagnostic consulting network, inc.",
"digitrace care services, inc.",
"dignify therapeutics, llc",
dimension technologies,
discoverx corporation,
doheny eye institute,
donna l romero,
"doty scientific, inc.",
drexel university,
dri biosciences corporation,
"drvision technologies, llc",
duquesne university,
dyax corporation,
dynadx corporation,
dystonia medical research foundation,
east bay institute for research and educ,
east carolina university,
eastern maine medical center,
eastern virginia medical school,
eberhard karl university of tuebingen,
"echelon biosciences, inc.",
ecm biosciences,
ecole polytechnique federale de lausanne,
"edj associates, inc.",
"effigene pharmaceuticals, inc.",
eicom usa,
"eicosis, llc",
"ekam imaging, inc.",
ekos corporation,
eleanor roosevelt inst for cancer res,
"electrical geodesics, inc.",
"electronic biosciences, inc.",
electrosonics medical inc,
electrosonics medical inc.,
"elgavish paramagnetics, inc.",
emanuel hospital and health center,
emma pendleton bradley hospital,
emmanuel college,
emmes corporation,
"encore path, inc.",
"endomedix, inc.",
"endomimetics, llc",
enlightened technologies associates,
"enzerna biosciences, llc",
"eolas therapeutics, inc.",
eon corporation,
epicenter software,
"epigen biosciences, inc.",
"epitel, inc.",
"epivax, inc.",
erasmus university of rotterdam,
ernest gallo clinic and research center,
essen bioscience,
evanston northwestern healthcare,
"exemplar genetics, llc",
exscien corporation,
faculty of medicine of timone,
families of spinal muscular atrophy,
"fawkes biotechnology, llc",
federal university of bahia,
feinstein institute for medical research,
"ferro solutions, inc.",
"ffa sciences, llc",
"fhc, inc.",
field museum of natural history,
"fieldline, inc.",
"flint hills scientific, llc",
florida agricultural and mechanical univ,
florida atlantic university,
florida international university,
"focal, inc.",
"focalcool, llc",
fondazone cent/san raffaele/del monte,
fordham university,
"foster-miller, inc.",
foundation/biomed res/academy/athens,
fox chase cancer center,
"fox learning systems, inc.",
"fractal systems, inc.",
fred hutchinson can res ctr,
fred hutchinson cancer res ctr,
free university of brussels-jette campus,
"freeflow medical devices, llc",
friedreich's ataxia research alliance,
"friends research institute, inc.",
fundacao faculdade de medicina,
furman university,
geisinger clinic,
geisinger commonwealth school of medicine,
"geneprime, llc.",
"geneprotech, inc",
general electric global research ctr,
geneva foundation,
"genpathway, inc.",
"gentuity, llc",
george mason university,
georgia  health sciences university,
georgia  regents university,
georgia college and state university,
georgia institute of technology,
"giner, inc.",
"gismo therapeutics, inc.",
glaxosmithkline,
"gliamed, inc.",
goteborg university,
graham johnson,
graves electronics,
graymatter research,
great lakes neurotechnologies,
greenwood genetic center,
grinnell college,
"group operations, inc.",
"guilford pharmaceuticals, inc.",
guthrie foundation for education and res,
gvd corporation,
"h-cubed, inc.",
h. lee moffitt cancer ctr & res inst,
hadassah-hebrew university medical ctr,
"hager biosciences, inc.",
"halimed pharmaceuticals, inc.",
hamilton college,
hampshire college,
hannover medical school,
hanover school of veterinary medicine,
harris frc corporation,
"harvard bioscience, inc.",
harvard medical school,
harvard school of public health,
harvard university (sch of public hlth),
haverford college,
"hawaii biotech, inc.",
"health protection research, inc.",
"health research analysis, inc.",
healthone alliance,
healthpartners research foundation,
herbert h. lehman college,
"herbst research, inc.",
hhmi cold spring harbor laboratory,
"highland instruments, inc.",
"hillhurst biopharmaceuticals, inc.",
"hmd therapeutics, inc.",
hong kong univ of science & technology,
hood college,
hope pharmaceuticals,
hopital marie lannelongue,
hospital for joint diseases ortho inst,
hospital for sick chldrn (toronto),
howard university,
human biomolecular research institute,
"hybernia medical, llc",
ibm thomas j. watson research center,
"icagen, inc.",
icahn school of medicine at mount sinai,
"ichor medical systems, inc.",
icogenex corporation,
idaho state university,
"ihealthscreen, inc.",
illinois institute of technology,
illinois state university,
im systems,
"image-guided neurologics, inc.",
"imaging biometrics, llc",
"imarx therapeutics, inc.",
"immersivetouch, inc.",
immudx,
"immunarray usa, inc.",
"immune disease institute, inc.",
"in cytu, inc.",
"in vitro strategies, llc",
inarian- neurodiagnostic,
ind solutions,
indiana university,
"infinite biomedical technologies, llc",
"infinity conference group, inc.",
"inflamacore, llc",
"inflame therapeutics, inc.",
infoscitex corporation,
"infotech soft, inc.",
inframat corporation,
inhibikase therapeutics,
"inner health, inc.",
innersea technology,
"innersea technology, inc",
"innosense, llc",
inotek pharmaceuticals corporation,
"insight neuroimaging systems, llc",
"insight surgical technologies, llc",
institute for cancer research,
institute for genomic research,
institute for molecular medicine,
institute for neurodegenerative disordrs,
"institute of advanced sciences, inc.",
"institute of molecular biology, inc.",
institute of neurological research,
instituto de investigaciones biologicas,
"intan technologies, llc",
"intan technologies, llc.",
integra lifesciences corporation,
integrated biosening technologies,
integrated nonclinical de,
"integrated tissue dynamics, llc",
intelligent fiber optic systems corp,
"intelligent optical systems, inc.",
interactive biologics associates,
"interactive drama, inc.",
international business machines corp,
international computer science institute,
international neuromodulation society,
international society/ neuroethology,
"intraimmune therapies, inc.",
"inventive software solutions, inc",
"iowa cancer research foundation, inc.",
"iq solutions, inc.",
"irisys, inc.",
"iron horse diagnostics, inc.",
irvine sensors corporation,
"isoplexis, inc.",
"iss, inc.",
istituto scientifico san raffaele,
"itn energy systems, inc.",
j. david gladstone institutes,
jackson state university,
jacksonville state university,
james madison university,
"jasin discovery solutions, inc.",
jfk medical center,
joslin diabetes center,
"js genetics, inc.",
"jt pharmaceuticals, inc.",
"k and k biosciences, inc.",
"kab laboratories, inc.",
kaiser foundation research institute,
karolinska institute,
keck graduate inst of applied life scis,
kennesaw state university,
kent state university,
kent state university at kent,
"kessler foundation, inc.",
keystone center,
keystone symposia,
"kinetic muscles, inc.",
king's college london,
"kitware, inc.",
kk biomed corporation,
"knopp biosciences, llc",
koester performance research,
koronis biomedical technologies corporat,
"kosan biosciences, inc.",
kovogen,
kra corporation,
"l2 diagnostics, llc",
la jolla infectious disease institute,
la jolla inst for allergy & immunolgy,
la jolla inst for molecular medicine,
lake forest college,
lankenau institute for medical research,
"lasmed, llc",
laval university,
"layton bioscience, inc.",
"lcg systems, llc",
lehdar systems corporation,
lehigh university,
leiden university medical center,
"lena biosciences, inc.",
lenox laser,
lewis and clark college,
"lickenbrock technologies, llc",
"life systems, inc.",
lifecell corporation,
"lifequest medical, inc.",
lifespan technology,
"lifesplice pharma, llc",
"lin, jiunn",
lincoln university,
"lipogene company, inc.",
lockheed martin aculight corporation,
loma linda university,
long beach memorial medical center,
louisiana state univ a&m col baton rouge,
louisiana state univ agricultural center,
louisiana state univ hsc shreveport,
louisiana state univ-univ of new orleans,
louisiana tech university,
lovelace biomedical & environmental res,
lovelace respiratory research institute,
"lpath therapeutics, inc.",
lsu health sciences center,
lsu pennington biomedical research ctr,
ludwig institute  for cancer res  ltd,
ludwig institute for cancer research,
"luminomics, inc.",
"luna innovations, inc.",
lurie children's hospital of chicago,
lynx design,
"maas biolab, inc.",
macalester college,
magee-women's res inst and foundation,
"magnesensors, inc.",
maimonides medical center (brooklyn),
maine medical center,
makerere university,
mallory institute of pathology,
"mandalmed, inc.",
"marblehead medical, llc",
march of dimes birth defects foundation,
"marine biomedical technologies, inc.",
marker gene technologies,
marshfield clinic research foundation,
"maryland medical research institute, inc",
massachusetts general hosp,
"mast therapeutics, inc.",
"matrical, inc.",
max delbrueck centrum for molecular med,
max planck florida corporation,
max planck institute for medical res,
"maxwell sensors, inc.",
mayo clinic,
mayo clinic  jacksonville,
mayo clinic arizona,
"mayo clinic coll of med, jacksonville",
"mayo clinic coll of med, mayo clinic az",
mayo clinic rochester,
"mb research laboratories, inc.",
mc laughlin research institute,
"mcguire research institute, inc.",
mclean hospital,
mcp hahnemann university,
mdb inc,
"medical advances, inc.",
medical college of wisconsin,
medical diagnostic research foundation,
"medical directions, inc.",
"medical metrics, inc.",
"medical toolworks, inc.",
"medigenix, llc",
"medosome biotec, llc",
medstar health research institute,
medstar research institute,
"metabiologics, inc.",
"metabolex, inc.",
"metactive medical, inc.",
methodist hospital research institute,
metrohealth medical center,
miami university oxford,
michigan technological university,
"micro probe, inc.",
"micro-leads, inc.",
"microbiological associates, inc.",
microconnex corporation,
"microfab technologies, inc.",
"microhelix, inc.",
microminiature interconnect technologies,
"microprobes for life science, inc.",
"microstrain, inc.",
"microtech designs, inc.",
"microtransponder, inc.",
mid-hudson family health institute,
middlebury college,
midwest research institute,
midwestern university,
"miicro, inc",
mimosa acoustics,
"mind probes, inc.",
minnesota center for health care ethics,
minnesota epilepsy group,
"minnesota epilepsy group, pa",
miriam hospital,
mirus bio corporation,
mississippi state university,
"mitokinin, inc.",
mitokor,
"mitovation, inc.",
"moberg medical, inc.",
"moberg research, inc.",
"modular bionics, inc.",
moebius syndrome foundation,
"molecular dynamics, inc.",
"molecular insight pharmaceuticals, inc.",
"molecular neuroimaging, llc",
"molecules for health, inc.",
monash university,
"monitec, inc.",
"montana molecular, llc",
montana state university (bozeman),
montana state university - bozeman,
montana state university -billings,
montclair state university,
morehouse college,
morehouse school of medicine,
"motogen, inc.",
mount desert island biological lab,
mount sinai school of medicine,
mount sinai school of medicine of nyu,
"mr-link, llc",
